Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Szansa crossovera
146.4799596827813	150.350267361214	0.792	1	0.05000000074505806
141.63625986780335	150.3994068808229	0.853	1	0.05000000074505806
148.12102738316466	150.39993521905853	0.842	1	0.05000000074505806
139.81809733024394	150.3999681115611	0.809	1	0.05000000074505806
145.07166719442	150.3998181482324	0.795	1	0.05000000074505806
147.7903813675315	150.39938115913432	0.824	1	0.05000000074505806
141.44383442945377	150.39966890889002	0.835	1	0.05000000074505806
146.39370563540746	150.3999456828574	0.778	1	0.05000000074505806
147.5038823106187	150.39997365360483	0.801	1	0.05000000074505806
147.1710526280071	150.3995905092471	0.823	1	0.05000000074505806
145.781994687012	150.3998149776833	0.809	1	0.05000000074505806
137.27020893978323	150.3992645298761	0.819	1	0.05000000074505806
145.26541057682113	150.3999421112394	0.84	1	0.05000000074505806
143.85759877424115	150.39997620367396	0.823	1	0.05000000074505806
134.5774222638309	149.91237678669597	0.862	1	0.05000000074505806
138.31488071524612	150.39974056750617	0.829	1	0.05000000074505806
143.6902288491537	150.39425174258474	0.819	1	0.05000000074505806
132.69542570899947	150.39960735866867	0.801	1	0.05000000074505806
148.2645138006145	150.3999777719	0.812	1	0.05000000074505806
124.85069158254166	150.39995326429127	0.828	1	0.05000000074505806
147.4440871914809	150.39995011202367	0.804	1	0.10000000149011612
126.5547954009862	150.39978004448344	0.832	1	0.10000000149011612
147.08636160618917	150.39951342544924	0.791	1	0.10000000149011612
149.93253213296578	150.39989514064982	0.818	1	0.10000000149011612
147.95260197891332	150.39872791556417	0.799	1	0.10000000149011612
135.8203069113268	150.3998169637107	0.827	1	0.10000000149011612
146.17088867177046	150.3995725713172	0.818	1	0.10000000149011612
144.8565071283698	150.3993181387582	0.815	1	0.10000000149011612
141.71699474844758	150.39866012797333	0.819	1	0.10000000149011612
149.05942656490186	150.39994037316637	0.847	1	0.10000000149011612
145.6974983361454	150.39993962746038	0.822	1	0.10000000149011612
143.20970903452226	150.39995503188948	0.832	1	0.10000000149011612
140.73597687445033	150.3997213908476	0.862	1	0.10000000149011612
137.18629352401408	150.39990850514965	0.902	1	0.10000000149011612
144.12872326185882	150.3998944698116	0.885	1	0.10000000149011612
142.03068618960188	150.3998393329166	0.875	1	0.10000000149011612
139.03578351567154	150.3995554510257	0.825	1	0.10000000149011612
150.07723333569174	150.39999360098426	0.859	1	0.10000000149011612
149.58841013169103	150.39909968515417	0.886	1	0.10000000149011612
142.05507750615297	150.39974374633852	0.849	1	0.10000000149011612
140.38159926670863	150.3997706830284	0.853	1	0.15000000223517418
144.38456417208943	150.3998314831949	0.845	1	0.15000000223517418
145.82654467161854	150.39996805499752	0.894	1	0.15000000223517418
139.32847640657013	150.39994267481356	0.859	1	0.15000000223517418
144.10210729180744	150.39994573432207	0.803	1	0.15000000223517418
143.48249150022872	150.39974765852693	0.864	1	0.15000000223517418
143.58397544027181	150.39981153898643	0.823	1	0.15000000223517418
136.934864435448	150.39911083450613	0.853	1	0.15000000223517418
125.56273923509775	150.39743827624184	0.85	1	0.15000000223517418
148.0311358790261	150.39946509283888	0.886	1	0.15000000223517418
144.11604502475822	150.39911584714983	0.867	1	0.15000000223517418
138.6508799154346	150.3947974481419	0.821	1	0.15000000223517418
144.80703724694746	150.39959350850475	0.855	1	0.15000000223517418
140.19705011236547	150.39883468841617	0.861	1	0.15000000223517418
145.3612960964992	150.39920249429238	0.869	1	0.15000000223517418
123.39221642860977	150.39998280389707	0.87	1	0.15000000223517418
147.20498051524132	150.3999057759127	0.876	1	0.15000000223517418
135.50891260928393	150.3997885862342	0.874	1	0.15000000223517418
139.53274968682126	150.39994790382895	0.863	1	0.15000000223517418
144.6118879271364	150.39958066358957	0.876	1	0.15000000223517418
148.15285744355756	150.39991481520082	0.911	1	0.20000000298023224
135.5888161944037	150.39945341033913	0.883	1	0.20000000298023224
147.72590892726686	150.39999768165688	0.897	1	0.20000000298023224
149.1432952971589	150.39996883765386	0.891	1	0.20000000298023224
136.75918999058277	150.39994758893027	0.896	1	0.20000000298023224
145.56520313556172	150.39994929097537	0.891	1	0.20000000298023224
145.1090586293251	150.3999708811244	0.862	1	0.20000000298023224
137.13358645681552	150.3999730634775	0.858	1	0.20000000298023224
138.48613142340895	150.394463632867	0.902	1	0.20000000298023224
148.23964750377883	150.39999473599482	0.856	1	0.20000000298023224
141.01422952279265	150.3999621911708	0.866	1	0.20000000298023224
135.58295598924718	150.39994271272752	0.888	1	0.20000000298023224
