Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne
142.4487808103405	150.3956473383532	0.813	1
147.06899460249218	150.3998797093808	0.84	1
136.53706348827347	150.39769351845638	0.804	1
147.51628829053743	150.39961854945005	0.819	1
147.10508585596625	150.39953789763965	0.839	1
147.5218020678432	150.39994632039244	0.795	1
142.87054590695885	150.39784974304365	0.843	1
149.07983698395367	150.39614275841234	0.811	1
150.54638305947367	150.39996246552863	0.845	1
141.14018201628704	150.39898896123196	0.813	1
145.13375448237824	150.39760806345387	0.826	1
139.1340443959307	150.3999522414979	0.827	1
144.37617212323352	150.39999855792024	0.793	1
144.88331045505655	150.39999539663188	0.829	1
129.65718258922047	150.39999505042385	0.848	1
149.2468576976837	150.3935312125896	0.824	1
144.08857775748095	150.39943752651558	0.839	1
141.59351152781025	150.39987194448722	0.807	1
146.16103216432646	150.3983466320008	0.804	1
139.30690777158776	150.39974678960988	0.831	1
130.2025998213369	150.3997825514759	0.822	1
150.03629956410919	150.399268743274	0.824	1
142.61467856507585	150.35808496285983	0.832	1
130.1006606951806	150.39979944536833	0.816	1
141.20599632881775	150.39824521939573	0.847	1
138.74413192264547	150.3974655157656	0.795	1
145.99011126156074	150.39997680291006	0.819	1
146.30430173081612	150.39999859953153	0.795	1
152.5512357626244	150.39851280870812	0.847	1
147.9089733307371	150.3998953844266	0.84	1
138.93742397963206	150.39949341958254	0.838	1
134.4793892880758	150.3672115210778	0.812	1
133.31859755675336	150.39929199057343	0.884	1
144.82773252850666	150.39955354682724	0.85	1
144.2503155687056	150.39924247439092	0.817	1
144.18008072784642	150.399987282378	0.785	1
148.61697261804946	150.39991049521774	0.82	1
147.23323264356083	150.39979898296662	0.839	1
137.00657101387915	150.3998506538484	0.827	1
142.17055682159022	150.39896757766468	0.823	1
147.25734507777258	150.39979009519013	0.843	1
142.05168398532746	150.39991869641415	0.837	1
146.16982086935457	150.39881665347175	0.833	1
147.21619739973883	150.39950291691358	0.838	1
141.8681287693384	150.39972337126068	0.827	1
148.34646547559439	150.39876188563017	0.86	1
141.3311250042149	150.39995155162342	0.844	1
141.37819312784342	150.3994875551741	0.849	1
148.31427220219106	150.3972979217918	0.825	1
142.7461637453277	150.39824433224192	0.843	1
144.28727915359076	150.39993135853322	0.858	1
138.75934008361034	150.39999977845918	0.822	1
147.74827698957836	150.39862700033143	0.841	1
137.3881573503076	150.39954466596754	0.86	1
145.7860216007543	150.39950381728818	0.844	1
144.49737112727075	150.39984853173655	0.829	1
138.3087078879054	150.39972545051245	0.8	1
141.76673960214296	150.3995861544875	0.826	1
145.42459549771135	150.39980343414888	0.811	1
110.32697376792997	150.39991090346004	0.814	1
149.87304337545473	150.39999720177647	0.843	1
