Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Szansa mutacji
136.32659799808403	150.3996810416917	0.8	1	0.05000000074505806
139.31406725322577	150.3996906543722	0.825	1	0.05000000074505806
145.33119298350772	150.3990207851258	0.824	1	0.05000000074505806
145.23537635743295	150.39782612043714	0.837	1	0.05000000074505806
139.39239650850035	150.39887774441397	0.839	1	0.05000000074505806
148.2290723474321	150.39917484656993	0.84	1	0.05000000074505806
144.74308205194356	150.39989006250903	0.844	1	0.05000000074505806
148.63283319503455	150.39912808886052	0.857	1	0.05000000074505806
146.2654338376601	150.39273384803323	0.828	1	0.05000000074505806
142.6683971216596	150.39998199347957	0.807	1	0.05000000074505806
139.1158037383333	150.39989746951528	0.842	1	0.05000000074505806
135.92642834733866	150.39979079113405	0.836	1	0.05000000074505806
139.7424816530847	150.39877667041765	0.843	1	0.05000000074505806
144.75439643575456	150.39938002309594	0.831	1	0.05000000074505806
146.1391690909331	150.399998998085	0.79	1	0.05000000074505806
135.319257102365	150.39987903287664	0.809	1	0.05000000074505806
150.9638802221802	150.39994800346807	0.793	1	0.05000000074505806
143.66433159118023	150.3998809594951	0.865	1	0.05000000074505806
144.35218477269268	150.39948836879142	0.795	1	0.05000000074505806
146.65869421011996	150.3999869498011	0.835	1	0.05000000074505806
149.2941738921889	150.39968919544967	0.802	1	0.06000000052154064
145.40403548742444	150.39978950412552	0.832	1	0.06000000052154064
144.95340279625498	150.39907860984437	0.825	1	0.06000000052154064
141.5764497332725	150.39999576460036	0.824	1	0.06000000052154064
147.95999959774633	150.39989357126518	0.834	1	0.06000000052154064
144.931917602671	150.39679848621097	0.834	1	0.06000000052154064
152.92180987488157	150.3998526057192	0.846	1	0.06000000052154064
145.02482733611652	150.39962456355454	0.836	1	0.06000000052154064
138.4803862116578	150.39980078055729	0.83	1	0.06000000052154064
146.89253095899284	150.3999965805522	0.85	1	0.06000000052154064
144.45277617910767	150.399978847952	0.828	1	0.06000000052154064
145.14613068569486	150.39942579304417	0.848	1	0.06000000052154064
143.81408335866496	150.3989651852088	0.816	1	0.06000000052154064
143.09081075436342	150.3984995316467	0.833	1	0.06000000052154064
130.9657668280761	150.39160193856782	0.81	1	0.06000000052154064
148.1247833011735	150.3999355559273	0.838	1	0.06000000052154064
143.26747777343084	150.3999890286361	0.828	1	0.06000000052154064
145.99081423975773	150.39970224274506	0.813	1	0.06000000052154064
130.60064505334293	150.3994996903429	0.821	1	0.06000000052154064
149.86923418036895	150.39992657664658	0.84	1	0.06000000052154064
147.2961704159717	150.39986217537017	0.824	1	0.07000000029802322
149.0559215091052	150.39998822345638	0.813	1	0.07000000029802322
152.57939408369566	150.39998069305855	0.859	1	0.07000000029802322
142.5173558098621	150.3999453351655	0.862	1	0.07000000029802322
139.21030843410222	150.39895630742296	0.84	1	0.07000000029802322
148.65207551890293	150.39999224926453	0.831	1	0.07000000029802322
149.92184877475808	150.3999037803688	0.821	1	0.07000000029802322
148.43701519589118	150.3999230570637	0.858	1	0.07000000029802322
148.98143600030647	150.39929965685627	0.865	1	0.07000000029802322
153.55194109697374	150.39999942381192	0.835	1	0.07000000029802322
150.2609523361109	150.39982882788775	0.883	1	0.07000000029802322
148.60425083088072	150.39857899019597	0.833	1	0.07000000029802322
146.7785280416274	150.39999717729324	0.825	1	0.07000000029802322
151.17728518136582	150.39993312536978	0.822	1	0.07000000029802322
143.96318779556137	150.39839321627815	0.844	1	0.07000000029802322
141.7697621449273	150.3997438080258	0.823	1	0.07000000029802322
147.35330852510492	150.3997508269398	0.842	1	0.07000000029802322
136.6853939941488	150.39882362754946	0.856	1	0.07000000029802322
148.15698330269834	150.39966500427178	0.847	1	0.07000000029802322
146.50765797722858	150.39998744595943	0.827	1	0.07000000029802322
150.00592710264368	150.3999952321651	0.821	1	0.0800000000745058
146.81068354936315	150.39997369292738	0.844	1	0.0800000000745058
146.07906008345063	150.39974491106668	0.85	1	0.0800000000745058
142.9884698614505	150.39997866416823	0.86	1	0.0800000000745058
151.88057529018127	150.39999189992864	0.842	1	0.0800000000745058
151.08170854172766	150.39981674853328	0.828	1	0.0800000000745058
147.94892769599647	150.39978844419042	0.865	1	0.0800000000745058
148.73555469393034	150.39999130850293	0.853	1	0.0800000000745058
145.45749636045065	150.39960693258968	0.831	1	0.0800000000745058
150.3399677980709	150.39716574431213	0.832	1	0.0800000000745058
149.2566165040573	150.39985630796136	0.847	1	0.0800000000745058
144.25659634390996	150.39982578098216	0.864	1	0.0800000000745058
