Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Rozmiar populacji
68.48750691771556	150.3879803644254	0.006	1	10
76.96570915717123	150.37479827282968	0.007	1	10
129.75159393094705	150.32607141254923	0.007	1	10
89.77958345848693	150.3999011536776	0.005	1	10
105.80949500296286	150.39929253733698	0.008	1	10
122.41002677216505	150.38356365846752	0.006	1	10
120.99868600337226	150.39821094128763	0.006	1	10
84.53399624358394	150.3998626527432	0.006	1	10
112.96274815868556	150.39746829469505	0.006	1	10
64.9381515382415	150.39914590454836	0.006	1	10
91.8862854914673	150.39672078813342	0.006	1	10
103.06927904872757	150.38595430488434	0.007	1	10
99.81200350381499	150.3968098457423	0.006	1	10
101.6520888674392	150.39999731058552	0.006	1	10
126.90773689173258	150.37867542758033	0.006	1	10
84.3467272509986	150.39933168081143	0.006	1	10
133.21530938488633	150.37525952108945	0.006	1	10
78.79548466054375	150.3955126887558	0.006	1	10
119.97114116428861	150.07544281376403	0.006	1	10
117.24791008466723	150.38303123276154	0.007	1	10
118.3376897310474	150.39969944461993	0.012	1	20
126.85492487045835	150.37202417547385	0.012	1	20
135.29947937021035	150.39867266596897	0.012	1	20
98.30978817910136	150.3896245875575	0.013	1	20
87.43541669608092	150.39982912420706	0.012	1	20
88.82164458003803	150.39999922355153	0.014	1	20
98.70213823592583	150.39980787000965	0.012	1	20
125.49093698020863	150.39416957455376	0.012	1	20
119.79416896983908	150.39904435398097	0.014	1	20
125.49998454333894	150.39255798242	0.012	1	20
102.17266266384043	150.3846406774577	0.012	1	20
110.27438911418587	150.39762105038812	0.011	1	20
135.6420138135877	150.39114622921738	0.013	1	20
139.56599930658408	150.38504778984128	0.012	1	20
114.32876246569319	150.3918363717453	0.013	1	20
141.2152850852366	150.3984882899303	0.012	1	20
118.50667237445296	150.39733628786357	0.011	1	20
113.29806161595211	150.39779931295817	0.011	1	20
105.95314404598165	150.3974456097492	0.013	1	20
116.34759383734104	150.34497157453802	0.012	1	20
133.55662309767428	150.39970772140293	0.02	1	30
146.9166589761517	150.37895863459028	0.018	1	30
129.2516661625533	150.39666363898303	0.019	1	30
134.8616963738776	150.39797033010808	0.02	1	30
103.52134861651118	150.39620987577712	0.021	1	30
109.41093140196256	150.39272850655934	0.018	1	30
119.34586602918127	150.39177311915557	0.021	1	30
135.1004453934434	150.39235491283256	0.019	1	30
128.91235115621268	150.39613361600468	0.02	1	30
113.8917084988779	150.3850833301613	0.019	1	30
106.73529694436665	150.39331379618017	0.019	1	30
105.60423951098784	150.39966141465288	0.019	1	30
