Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Szansa mutacji
144.997591491045	150.39958600199134	7.15	1	0.05000000074505806
145.24055584306802	150.39977429154203	7.918	1	0.05000000074505806
140.0432253486632	150.39985267741054	7.82	1	0.05000000074505806
145.53100199392074	150.39972310375273	7.242	1	0.05000000074505806
148.9791000070633	150.39911483358605	7.125	1	0.05000000074505806
141.6200035814295	150.39997658630517	6.728	1	0.05000000074505806
144.10665817643172	150.39989337898146	6.816	1	0.05000000074505806
138.95425494819364	150.39998319679782	6.751	1	0.05000000074505806
144.56976349614425	150.39976620830151	6.994	1	0.05000000074505806
131.22103301815866	150.39986390128428	7.688	1	0.05000000074505806
148.54733054137535	150.3999135197819	7.954	1	0.05000000074505806
145.58154086491277	150.39993146074698	6.981	1	0.05000000074505806
143.72046470855472	150.39996397487343	6.827	1	0.05000000074505806
129.39539039122394	150.3993510430006	7.416	1	0.05000000074505806
146.80287183026508	150.39929754848322	7.356	1	0.05000000074505806
144.45407592212322	150.39946480713297	7.6	1	0.05000000074505806
147.19741197270662	150.39999418145163	7.423	1	0.05000000074505806
145.66992974070905	150.39961405746214	7.523	1	0.05000000074505806
140.85304311980204	150.39996228668895	6.806	1	0.05000000074505806
142.7291740796235	150.39991783281388	6.854	1	0.05000000074505806
145.2949114162691	150.3998778175678	7.442	1	0.06000000052154064
147.31654359241298	150.3999736823434	7.39	1	0.06000000052154064
149.2689925006034	150.39996667203525	7.386	1	0.06000000052154064
142.5031429742721	150.39992247346177	7.237	1	0.06000000052154064
150.1266849857403	150.3998417545128	7.014	1	0.06000000052154064
137.43401441895065	150.3999359480192	7.825	1	0.06000000052154064
143.1415086456449	150.39990187774163	7.762	1	0.06000000052154064
149.99343444346874	150.3999909443897	8.194	1	0.06000000052154064
144.36020208410503	150.39997619294832	7.411	1	0.06000000052154064
145.98903740347652	150.3920067340323	8.077	1	0.06000000052154064
143.0438778235828	150.3998775058076	7.855	1	0.06000000052154064
146.27351646932925	150.39913489150015	7.739	1	0.06000000052154064
152.2928606069265	150.39991805923086	7.875	1	0.06000000052154064
145.52810019724765	150.39999348926176	7.953	1	0.06000000052154064
138.80451709465777	150.39995488490104	7.775	1	0.06000000052154064
145.92574478542855	150.3998981638303	7.93	1	0.06000000052154064
144.1282763532256	150.39990830803507	7.663	1	0.06000000052154064
148.6274065058254	150.39837238536256	8.127	1	0.06000000052154064
147.84235454623115	150.39994649964612	7.672	1	0.06000000052154064
133.95013261985537	150.39996490027247	7.861	1	0.06000000052154064
150.4651826815786	150.39987995656193	8.092	1	0.07000000029802322
145.94350527128097	150.39994265855847	7.959	1	0.07000000029802322
147.97016763754308	150.39985761597256	8.158	1	0.07000000029802322
152.29489924061795	150.39560910188175	8.223	1	0.07000000029802322
150.89093290131788	150.39990739019618	7.91	1	0.07000000029802322
147.29880081329537	150.39368909899002	8.183	1	0.07000000029802322
151.84081136617672	150.3999948314316	7.882	1	0.07000000029802322
148.8640143901552	150.39999467089024	7.937	1	0.07000000029802322
150.72658651409816	150.39976161487007	7.808	1	0.07000000029802322
151.39492833929907	150.3999363824442	7.991	1	0.07000000029802322
149.4466760907498	150.39974620947066	7.746	1	0.07000000029802322
147.94804826076506	150.3985226181493	7.67	1	0.07000000029802322
149.44284429332828	150.38190290260437	7.76	1	0.07000000029802322
147.46622914932408	150.39995760411142	7.744	1	0.07000000029802322
