Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne
145.39933099641766	150.39994779424404	5.281	1
138.23611234334544	150.39963094450155	5.108	1
143.7634105128029	150.3997232682009	5.355	1
148.52142425220043	150.39995668440082	5.329	1
144.85556546085945	150.39991262592125	5.101	1
137.88438800108332	150.3991867342422	5.338	1
145.47459775340639	150.39996444672488	5.34	1
147.62802821493545	150.3999853820479	5.438	1
141.22523120361151	150.3998978006045	5.208	1
138.19754142964993	150.3995751519627	5.017	1
135.5329082181756	150.39986052473262	4.997	1
143.63299256394362	150.39979430548152	5.216	1
147.27676677520884	150.3999631612019	5.202	1
144.9278308497883	150.39999675513252	5.551	1
151.7282876661613	150.3881460490225	5.21	1
152.19878955537854	150.39955329886067	5.0	1
147.14600096013567	150.3999783569426	5.327	1
137.91602777973281	150.38762770626494	5.143	1
144.97047526754525	150.39999059819021	5.316	1
144.15527417960314	150.3995875626453	5.501	1
146.29835311017186	150.39992330568617	5.448	1
121.71084321390948	150.3999359034136	5.536	1
141.30025117445598	150.39910687721803	5.25	1
140.17158145016052	150.39954432798302	5.145	1
146.80988023844526	150.39991764834176	5.295	1
133.40626064739158	150.3999854196601	5.208	1
142.78114418784585	150.39992502311247	4.97	1
136.7534898461179	150.39983154686087	5.24	1
145.63100328639987	150.39986369332644	5.524	1
143.15912320220824	150.39974893456744	5.332	1
143.88712574065556	150.39881712550965	5.229	1
145.47369527427645	150.39961305948205	5.381	1
145.59504184323927	150.39998008814504	5.195	1
136.59420177388625	150.0341912823696	5.089	1
144.61529878920186	150.39978659553887	5.502	1
146.71892920491226	150.39995288815288	5.24	1
149.30989139680412	150.39976960235654	5.215	1
146.99635357976194	150.399879680059	5.624	1
141.65172689760848	150.39997732267022	5.125	1
137.11741634649565	150.39995815857134	5.151	1
133.64296624037445	150.39995183026483	5.124	1
140.89930624448107	150.3994130638371	5.523	1
152.2096498669299	150.39999802492653	5.345	1
146.06783385015848	150.39996405492678	5.031	1
137.8806661832674	150.3995062583959	5.06	1
121.77105384556822	150.39665909692945	5.285	1
145.36582508812555	150.3999726674097	5.324	1
141.5517010513155	150.39950810375035	5.264	1
137.7838309206087	150.39879443412545	5.308	1
145.37838309630303	150.39991778996222	5.094	1
142.99342805923206	150.3973188092175	5.192	1
149.16531481961655	150.39845478701216	5.153	1
139.18529155914527	150.39857522561266	5.308	1
120.48852016224022	150.3999996236416	5.15	1
147.7097920719968	150.39981823570704	5.188	1
140.780608151786	150.39996158115372	5.05	1
145.50871804017655	150.3999883691996	5.253	1
136.21863970741882	150.39998418060551	5.25	1
140.28494709628066	150.39997281174715	5.366	1
144.04315981936278	150.39995845421097	5.237	1
124.70446615090005	150.3998473529382	4.895	1
143.69947428402472	150.39923648920637	5.064	1
143.12457139526097	150.39845824404347	5.045	1
132.56894112454714	150.39997690940544	5.082	1
143.15095973661022	150.39992622491053	5.061	1
130.81018348248668	150.3998541387598	4.958	1
138.38957345440636	150.39970017410567	5.103	1
136.11794516447483	150.3974179986036	5.139	1
147.79628243954252	150.39991801239864	5.005	1
149.17573876617107	150.39993335492983	5.268	1
141.37407554796275	150.39994730665578	5.03	1
150.35394152850984	150.3996385827579	5.185	1
