Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Szansa crossovera
145.37475215474498	150.39986432639952	6.518	1	0.05000000074505806
150.361617823549	150.39914549587274	7.347	1	0.05000000074505806
144.2798631391355	150.39997352856716	7.778	1	0.05000000074505806
149.46684714884003	150.34303341557091	6.9	1	0.05000000074505806
147.458415382788	150.39996011266675	7.253	1	0.05000000074505806
130.32157263649742	150.39983742238093	6.588	1	0.05000000074505806
144.9119854507913	150.39950019916765	6.608	1	0.05000000074505806
140.3284721245623	150.3995546453282	7.097	1	0.05000000074505806
134.6675153088822	150.39977694841923	6.591	1	0.05000000074505806
139.23258815656715	150.3999127729147	7.092	1	0.05000000074505806
142.56236928541844	150.39974661616301	8.063	1	0.05000000074505806
136.82929634413415	150.39998123252906	7.258	1	0.05000000074505806
149.77159473195468	150.39789780226562	6.644	1	0.05000000074505806
149.08410449905952	150.3995083125758	6.502	1	0.05000000074505806
140.70909558720393	150.3998062064433	6.336	1	0.05000000074505806
138.81513017374618	150.39886638109806	7.669	1	0.05000000074505806
136.21421571167681	150.39997782173702	7.646	1	0.05000000074505806
146.11768753472094	150.39956872938419	7.349	1	0.05000000074505806
149.0209785237094	150.39922249151925	6.953	1	0.05000000074505806
146.45511932273712	150.39989741860535	7.406	1	0.05000000074505806
150.14155476002495	150.39963829889894	6.897	1	0.10000000149011612
150.77824984613068	150.39965174947045	7.154	1	0.10000000149011612
146.72942826351627	150.39853007380074	7.119	1	0.10000000149011612
140.02346507732204	150.39987166591692	7.078	1	0.10000000149011612
150.02453166766526	150.39999486258068	6.875	1	0.10000000149011612
143.95377137979477	150.39939122821235	6.82	1	0.10000000149011612
141.4247250368375	150.3999595580506	7.37	1	0.10000000149011612
142.73949228935857	150.3999072618725	7.755	1	0.10000000149011612
145.31732672526718	150.39999028318056	7.505	1	0.10000000149011612
148.32374378610035	150.39999411259177	7.275	1	0.10000000149011612
143.64903029693485	150.39985240409482	7.526	1	0.10000000149011612
147.71499555968356	150.39994896583704	7.832	1	0.10000000149011612
144.93934696911313	150.39990315407596	7.585	1	0.10000000149011612
