Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Rozmiar populacji
100.37528189571702	150.3912108170531	0.538	1	40
118.72925931277186	150.39865111617303	0.484	1	40
108.05497844067267	150.39719223324764	0.452	1	40
92.8453914031357	150.3999065359137	0.576	1	40
93.44039029490463	150.3998554933131	0.443	1	40
113.67862552698183	150.39855732564035	0.501	1	40
123.34527517477508	150.39844897115893	0.479	1	40
123.37009536423207	150.38779813150316	0.486	1	40
126.60864819152918	150.3974357209476	0.459	1	40
145.22072473360043	150.34827667672823	0.489	1	40
124.59309260892942	150.39998011182598	0.497	1	40
112.59944858397526	150.3993420798714	0.414	1	40
133.52194732789997	150.3562347277219	0.408	1	40
128.10592107190132	150.25821446116018	0.461	1	40
145.67003083279252	150.39942048547178	0.516	1	50
123.49687042467757	150.39366818960252	0.358	1	50
140.14431081227465	150.39962076252192	0.548	1	50
105.74454483431879	150.39835558532872	0.62	1	50
137.0248611279941	150.39944915305944	0.538	1	50
100.6231355655036	150.39767821930414	0.529	1	50
108.17665130144458	150.39721987825283	0.494	1	50
106.53068434584742	150.39995986829615	0.583	1	50
125.93070796601273	150.3991700039234	0.553	1	50
109.88137552712664	150.39994544773012	0.503	1	50
130.0097999440829	150.39885175724578	0.516	1	50
130.4810834885866	150.39958522635126	0.557	1	50
107.40818455801062	150.39999865623292	0.585	1	50
135.18739225556732	150.39560562405515	0.539	1	50
132.33050330720602	150.39717650625136	0.527	1	50
139.0540280373982	150.39881172048206	0.556	1	50
130.33829900897217	150.39923619616624	0.532	1	50
140.05122791997536	150.39838264342475	0.57	1	50
118.7050668539199	150.39627023749685	0.547	1	50
132.44925698014367	150.39969423991286	0.494	1	50
131.12833431685564	150.39851912207453	0.746	1	60
136.04773245001002	150.39624567578036	0.686	1	60
129.93399564927927	150.3959877247308	0.661	1	60
111.05618826817319	150.38620106919268	0.709	1	60
122.53402434229514	150.39811210491234	0.679	1	60
123.21846970112705	150.39940485863858	0.647	1	60
125.48376565782182	150.39942096410638	0.687	1	60
133.97023948179591	150.39600773138483	0.658	1	60
90.53738804308556	150.38091790132114	0.611	1	60
86.61940182390718	150.3998106058176	0.706	1	60
126.90111618322284	150.39997997172352	0.608	1	60
134.0631034586437	150.39585792653523	0.595	1	60
140.1481131119685	150.39903672682436	0.652	1	60
84.81953740683761	150.39949486319787	0.673	1	60
132.05211004303314	150.39307524027868	0.744	1	60
140.91102627479663	150.3979462301639	0.695	1	60
134.79872069890376	150.3988665228766	0.712	1	60
108.10355839824369	150.39946236692265	0.733	1	60
126.70134711857241	150.39451293137685	0.662	1	60
128.83178732275607	150.3998738672378	0.582	1	60
135.68370181964747	150.39746192787516	0.916	1	70
119.51674880078652	150.39839549105446	0.753	1	70
143.5591409309177	150.3996633567329	0.74	1	70
129.03994115105817	150.39678377862572	0.823	1	70
138.46930300269804	150.3996891305994	0.815	1	70
137.34923134930608	150.39979262157178	0.813	1	70
133.35428501171086	150.39930432316908	0.679	1	70
121.3415668987435	150.39779286470736	0.45	1	70
130.6154127783419	150.39883521676782	0.728	1	70
134.74331247452932	150.39767070241797	0.739	1	70
122.04424988013926	150.39968303563464	0.716	1	70
100.98792075311638	150.3982726452467	0.776	1	70
140.71143205885323	150.3996907580516	0.676	1	70
112.89338087107615	150.39794115048633	0.819	1	70
130.76395574074598	150.39967188753639	0.686	1	70
143.03991639142762	150.39824829841865	0.837	1	70
108.03161942885532	150.3993183858461	0.896	1	70
128.52385812560394	150.39867732647798	0.775	1	70
93.58113985838096	150.39642871565442	0.71	1	70
117.37059872247417	150.39829844640093	0.802	1	70
141.71146594821877	150.39956232276887	0.745	1	80
113.70092371682287	150.39956974173933	0.97	1	80
107.35735106854823	150.39996573498274	0.887	1	80
140.38651727689185	150.38225693859965	0.799	1	80
135.34586180512193	150.3999629350871	0.903	1	80
131.43261986697422	150.39934549783948	0.879	1	80
116.50760878779751	149.9638885693793	1.012	1	80
116.54124555760359	150.39883253638374	0.957	1	80
132.02086619536905	150.39969759640383	1.064	1	80
112.38709327199737	150.39831682784575	1.083	1	80
142.8244793697014	150.3978412572926	1.125	1	80
104.39256471696487	150.3998187676006	0.966	1	80
138.59067547429675	150.39717120655368	1.064	1	80
144.0732176983691	150.3703889517495	1.078	1	80
