Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne
142.02213591827984	150.39939009842576	0.887	1
141.65735584137548	150.39998283149566	0.847	1
129.58155540859107	150.3995833697251	0.875	1
144.78995868466018	150.39998333208987	0.861	1
142.03115440927223	150.39908298029385	0.889	1
146.81397107271664	150.39799394515717	0.91	1
145.22830594829318	150.39993812662527	0.91	1
141.20460705102036	150.39992261086985	0.885	1
147.12979861183825	150.39999509201695	0.912	1
146.6564129404677	150.39933407803346	0.854	1
144.52087927590284	150.39997136295844	0.887	1
142.94368709884728	150.3999155933828	0.837	1
144.33091450811943	150.39945384264203	0.911	1
144.1531397830785	150.3982419223514	0.834	1
143.43242627911687	150.36102502135157	0.88	1
145.0711926925799	150.39993987352182	0.874	1
140.37834802996892	150.3991686124085	0.854	1
139.88703616178782	150.3995954592948	0.902	1
141.85589879016075	150.39958494515335	0.846	1
134.9892392280207	150.3999318514141	0.871	1
146.11836751271525	150.39980330425757	0.913	1
145.29301507819542	150.3998807131216	0.857	1
145.4758386850743	150.39964010163806	0.858	1
141.32866178723918	150.39970608227048	0.816	1
147.94466421718857	150.3995624405252	0.843	1
143.36722142320284	150.3997447971437	0.889	1
148.98251709944702	150.3999950170147	0.863	1
131.8760156941728	150.3995859313712	0.879	1
136.65663230725252	150.39925264451102	0.88	1
140.506060556037	150.39977618971892	0.851	1
143.5004017817096	150.39768413781462	0.86	1
145.85626051717713	150.3999457516368	0.851	1
137.11992749302695	150.39949360135745	0.844	1
147.12530620007536	150.39979272100655	0.901	1
123.45339167316916	150.39905657532736	0.924	1
