Wartość spakowanych itemków	Waga spakowanych itemków	Czas pakowania	Czy poprawne	Rozmiar populacji
130.0463966969749	150.39881232532576	0.038	1	60
133.53419464495624	150.39938740708732	0.04	1	60
126.48352571623133	150.39623896069986	0.038	1	60
143.48896133219353	150.39561359136354	0.055	1	70
117.52327366332926	150.39800779521687	0.053	1	70
115.12826947099448	150.39983530213493	0.051	1	70
103.02239121210924	150.386916050007	0.051	1	70
146.6058232334046	150.39901943922465	0.054	1	70
134.24443166829013	150.39802238013638	0.053	1	70
126.23186707203665	150.39592972425982	0.054	1	70
133.0949814225796	150.39969559035865	0.051	1	70
129.29394528532106	150.399733568564	0.051	1	70
119.48489152830169	150.39469398909205	0.052	1	70
139.39611483433242	150.3959299888734	0.053	1	70
135.2008932511492	150.369138828631	0.05	1	70
134.17535963832748	150.39970104725631	0.051	1	70
143.71313909764842	150.39880609982907	0.051	1	70
118.28714266163715	150.39681988782448	0.05	1	70
144.63325648841453	150.39942132565918	0.052	1	70
114.0160984316937	150.3999814111815	0.053	1	70
134.90305198905983	150.39585497574515	0.052	1	70
125.46330972055921	150.3598291170979	0.051	1	70
133.4583528382218	150.3996677719895	0.05	1	70
132.8700457602445	150.39822147600145	0.064	1	80
118.99698861349603	150.39998185223607	0.061	1	80
122.98835862662196	150.39478539160933	0.06	1	80
132.89190359725993	150.3943577958619	0.057	1	80
129.61305282053016	150.39356653881833	0.058	1	80
98.38931647329332	150.39821930550846	0.058	1	80
134.89562228535638	150.39679301281393	0.057	1	80
129.9904684056226	150.39584176927755	0.061	1	80
138.71806756685422	150.39944837410255	0.06	1	80
116.55621660385742	150.39876287374014	0.061	1	80
138.80105026378365	150.39919933184876	0.055	1	80
142.43166420024127	150.3891291954548	0.063	1	80
134.27227643846712	150.39698813519973	0.061	1	80
130.3590128554342	150.3998178794613	0.059	1	80
135.53684118673155	150.39928003505352	0.058	1	80
133.92393244054526	150.39480431472862	0.056	1	80
117.13953873279999	150.39948347371742	0.058	1	80
144.40397577186582	150.39989824940793	0.057	1	80
119.27089241681416	150.39949578845665	0.062	1	80
138.27592735606498	150.3958617236565	0.064	1	80
125.79489529151579	150.39847595762095	0.069	1	90
128.1014519021679	150.39991921409745	0.07	1	90
129.47393555530414	150.39823870024617	0.068	1	90
146.20525911762027	150.39938457930796	0.07	1	90
134.9580848397075	150.39894158240398	0.072	1	90
140.5148459600278	150.39990188863283	0.072	1	90
134.10070591782346	150.39305307661107	0.071	1	90
140.99841689754248	150.3994496034238	0.071	1	90
138.5015793070362	150.3966969465625	0.07	1	90
112.80034439595526	150.39933244990095	0.07	1	90
137.9627578285969	150.39970355346242	0.071	1	90
129.83206621922992	150.39904681971177	0.074	1	90
124.96706426441727	150.3998803811523	0.073	1	90
122.97167183710425	150.39760811516612	0.068	1	90
136.04062525077228	150.3991977304243	0.071	1	90
141.63551237014084	150.3993105328193	0.066	1	90
141.7535795346072	150.39970139300937	0.065	1	90
113.33634322690948	150.39982075946517	0.068	1	90
134.3002979843481	149.89596858809617	0.07	1	90
122.85078149128341	150.3993730417229	0.071	1	90
128.77599790258913	150.39966080806926	0.082	1	100
103.20917116994585	150.3974433242991	0.088	1	100
145.31777708434763	150.39943668876708	0.084	1	100
140.73859397634791	150.399255083135	0.087	1	100
135.5616739354364	150.3999013644122	0.084	1	100
135.6345825517778	150.36923297043373	0.087	1	100
139.41146266030492	150.39987748726156	0.084	1	100
123.01136010634602	150.39788695333576	0.08	1	100
139.340085236986	150.39692119924996	0.09	1	100
114.43850774147029	150.39981338539712	0.082	1	100
124.94170902853924	150.39983707076132	0.082	1	100
143.51651374432683	150.39896686706678	0.08	1	100
141.79797222632013	150.39829297773332	0.083	1	100
137.63963819283603	150.3990447449168	0.082	1	100
131.64361960551446	150.39963877738654	0.088	1	100
123.18862748937325	150.06572579940777	0.082	1	100
100.62288427286225	150.3990921160502	0.083	1	100
137.97392679150207	150.37189651964627	0.085	1	100
131.04693292049257	150.39828949400592	0.082	1	100
139.46153183096936	150.38098706522072	0.079	1	100
137.40684580326428	150.39823524220304	0.093	1	110
146.66558291330873	150.3942384238184	0.093	1	110
146.6810166613248	150.39876935344847	0.088	1	110
144.89628714251896	150.39703408132254	0.089	1	110
108.25557839339237	150.39003388053686	0.085	1	110
137.28528228621843	150.39903264850332	0.087	1	110
127.06638592511771	150.3881821316743	0.086	1	110
133.67207310044324	150.3963716550119	0.088	1	110
116.90491803551683	150.39994648668565	0.088	1	110
143.16791493635372	150.39954762192912	0.092	1	110
127.88947009913105	150.39744495115474	0.093	1	110
140.51213383580753	150.3966455895498	0.093	1	110
131.92293759606625	150.39900234868833	0.092	1	110
118.59807104660011	150.39768358655786	0.091	1	110
147.3631583630632	150.39927116493817	0.091	1	110
134.72386244414076	150.39915576420248	0.088	1	110
120.64007519546809	150.39996456925894	0.091	1	110
140.19301013531833	150.3998749484097	0.095	1	110
134.5951511945637	150.39919909532668	0.096	1	110
146.31490065098913	150.39753257460615	0.091	1	110
131.75399584140945	150.39953822004173	0.102	1	120
144.89145640335468	150.3820535919962	0.106	1	120
132.61473062843976	150.39717375441128	0.199	1	120
137.6134507970786	150.39749925650472	0.112	1	120
138.173971771607	150.39961125092412	0.1	1	120
119.13845281557242	150.39990886819604	0.102	1	120
127.41046108336506	150.39997399574298	0.112	1	120
126.54670686982016	150.39861238513828	0.124	1	120
132.78250451331022	150.39977785693372	0.102	1	120
135.19292276402953	150.3996555208828	0.1	1	120
136.06686040630797	150.3971300590282	0.103	1	120
138.83555976429872	150.39960102672936	0.102	1	120
137.30531189826948	150.39934035860603	0.104	1	120
145.17489053828064	150.3997346375886	0.1	1	120
140.15011728889414	150.3997613576223	0.103	1	120
121.36056432343344	150.39773552873135	0.103	1	120
133.047988301281	149.91313958235304	0.1	1	120
121.76192132922439	148.94402441627466	0.1	1	120
111.40235805092038	150.39682136860966	0.1	1	120
125.90712439380837	150.3995781722772	0.099	1	120
127.31520842174584	150.39993273729812	0.11	1	130
132.55870711695053	150.39981149636387	0.109	1	130
139.86047901522784	150.39783494806431	0.109	1	130
136.97918747740692	150.39938974651756	0.106	1	130
146.03167031266275	150.39931371941984	0.11	1	130
135.05371448772695	150.39995627821986	0.114	1	130
142.55137616521506	150.39843247257093	0.113	1	130
132.66713893314136	150.39861368008917	0.11	1	130
141.13594590217969	150.39988148121213	0.113	1	130
132.1966734561665	150.39960803107417	0.108	1	130
142.61801587692653	150.39936485597582	0.108	1	130
151.03027240317095	150.39996698154965	0.106	1	130
142.2183991286641	150.39348948755796	0.108	1	130
143.6679467991562	150.39908174078113	0.106	1	130
140.16076039404015	150.189898510481	0.106	1	130
132.48066307114607	150.39983869617447	0.109	1	130
143.18147566678252	150.3999349957625	0.111	1	130
139.8139055550702	150.04013239995803	0.111	1	130
117.65591765762082	150.39766665318496	0.106	1	130
140.26113086702094	150.39907749365918	0.116	1	130
135.11623842616456	150.39986225547253	0.123	1	140
141.26711203410497	150.39996866652928	0.127	1	140
140.19236426941944	150.38619156969807	0.128	1	140
139.45026585983982	150.39988747769098	0.125	1	140
130.8019283303917	150.39909837352926	0.13	1	140
123.87176418899244	150.39571613597766	0.123	1	140
135.51114480054156	150.39961404856763	0.128	1	140
146.23380620913153	150.39992932639836	0.129	1	140
125.404727720263	150.39575185035943	0.122	1	140
133.6148184611833	149.46986315993192	0.118	1	140
142.043909763964	150.3992385819998	0.123	1	140
126.61791749890185	150.39944443187102	0.12	1	140
127.9464991493517	150.39967028915066	0.128	1	140
147.28387957954482	150.3999447477611	0.13	1	140
144.7749689085349	150.3983228963341	0.127	1	140
128.4007959847265	150.3990859214243	0.119	1	140
136.10255932387713	150.39988564622644	0.122	1	140
124.9458728325349	150.3979324666041	0.119	1	140
137.49460767458675	150.39879777217922	0.121	1	140
149.41220761097205	150.3997817070591	0.122	1	140
138.97742484277114	150.39997052154538	0.131	1	150
107.32897387103347	150.39874726602858	0.129	1	150
131.00288453731807	150.39962489245949	0.135	1	150
134.71609271883682	150.39959006532695	0.13	1	150
133.82412889723037	150.38962102642978	0.131	1	150
112.51339656935953	150.39978258455403	0.135	1	150
140.57427842819175	150.39915024044578	0.131	1	150
130.26128734473258	150.39920795492438	0.13	1	150
131.71224067285783	150.3971111706949	0.133	1	150
127.65378893122043	150.38704166272723	0.131	1	150
124.01020015353765	150.39883546824348	0.138	1	150
133.12002308283863	150.39894868797086	0.126	1	150
139.89545388417793	150.39978175361097	0.132	1	150
139.66188217016605	150.38926618190993	0.129	1	150
137.620443274922	150.39385854896827	0.13	1	150
141.95500522712297	150.39988361313354	0.13	1	150
140.70376004296295	150.39957087266257	0.128	1	150
146.9583244667948	150.38530485847429	0.13	1	150
132.4863029875003	150.39603174475334	0.127	1	150
122.92331637880466	150.39954597920647	0.129	1	150
141.70219727350838	150.39863597909843	0.153	1	160
144.80809136243704	150.39971949521816	0.147	1	160
144.4624418908321	150.3992102780116	0.138	1	160
145.10206041088358	150.39977653088934	0.143	1	160
120.23508272051632	150.3977611473699	0.141	1	160
138.29672533927197	150.3996839940704	0.157	1	160
150.17799601605572	150.11246685409907	0.146	1	160
126.15890927770374	150.39753189230348	0.141	1	160
125.60055038149953	150.3967021468484	0.143	1	160
121.31296197730606	150.39419628220793	0.151	1	160
132.41022813467123	150.39015448626319	0.141	1	160
127.92800094822627	150.397325660793	0.139	1	160
138.37630617987855	150.395075254009	0.141	1	160
138.2098678441531	150.3999691630726	0.138	1	160
142.66604554101218	150.3992182939848	0.139	1	160
147.84688333654987	150.3985880177957	0.145	1	160
137.62705114876871	150.3994904029627	0.143	1	160
130.44654568573054	150.3997254794733	0.138	1	160
141.32250499357372	150.39980778906744	0.138	1	160
126.95106101848893	150.39966287880253	0.14	1	160
136.08332384137478	150.39988505751936	0.155	1	170
144.9894555437275	150.39981253977706	0.156	1	170
135.26838420179877	150.39934944333538	0.158	1	170
120.46844944267451	150.39986421516835	0.154	1	170
119.65317000099354	150.39904983288986	0.15	1	170
151.75583909192667	150.3999935769561	0.152	1	170
146.38391038909143	150.39817872555741	0.153	1	170
136.9217995848584	150.39996071349194	0.166	1	170
148.72514316757105	150.39994821224863	0.16	1	170
134.11969305053339	150.3938763785352	0.156	1	170
133.57498839948218	150.39988899256727	0.161	1	170
134.40662922442516	150.39926360984833	0.154	1	170
117.71948950146945	150.39996885002049	0.149	1	170
147.33774078924168	150.39969422354025	0.155	1	170
141.30225289365583	150.39969923725658	0.162	1	170
134.6445500469788	150.39584684420663	0.167	1	170
131.25032555772927	150.39981400422482	0.168	1	170
125.98290350024581	150.39924262245194	0.169	1	170
142.54930934250285	150.39943150253345	0.161	1	170
141.13725535187228	150.3999779697418	0.161	1	170
132.99714657853565	150.39967577920277	0.18	1	180
150.44092462142993	150.39994145251842	0.176	1	180
143.36080753589565	150.3727677591436	0.166	1	180
135.90507874745032	150.3996048906193	0.164	1	180
149.67100280557864	150.39452936378643	0.183	1	180
130.63608764671994	150.39212225701317	0.168	1	180
136.96687564249544	150.39514934628443	0.167	1	180
132.28283145937877	150.39922759517896	0.165	1	180
139.6290174204861	150.39856382747536	0.168	1	180
144.25000779894688	150.39924122331183	0.166	1	180
142.8668296031086	150.39980969018768	0.163	1	180
143.60303844143056	150.3993922719971	0.175	1	180
130.7815798342551	150.35906204428827	0.167	1	180
130.32744351691542	150.39962178143065	0.166	1	180
121.61114410171912	150.39179022981088	0.167	1	180
137.1883826018603	149.86583654649036	0.166	1	180
136.11069719939832	150.39930048080078	0.164	1	180
137.2163017665049	150.39993382997847	0.17	1	180
121.29234306052183	150.32720025432562	0.158	1	180
106.18766189639317	150.39962116776104	0.161	1	180
137.0389898083356	150.35180894428507	0.184	1	190
139.24217218556979	150.39999394543094	0.178	1	190
128.13209190044887	150.39968359045065	0.176	1	190
140.25829502363715	150.39805142705646	0.173	1	190
135.1233063350258	150.3995416914769	0.174	1	190
141.3365962180465	150.3999100005456	0.179	1	190
147.15535371600578	150.39933672306313	0.179	1	190
133.1464849552048	150.3998181540175	0.178	1	190
124.93105576308281	150.39984921889697	0.177	1	190
134.7165642163744	150.39924671274832	0.177	1	190
140.1098574697383	150.3988379625179	0.178	1	190
128.76172022084359	150.39998108885186	0.174	1	190
138.26565189497876	150.39985646142708	0.179	1	190
130.5301846476703	150.39773384040157	0.18	1	190
144.6774364526204	150.39999518225562	0.187	1	190
139.39765724642518	150.3997910468364	0.177	1	190
136.44817530483255	150.3987693002646	0.18	1	190
133.86001353912093	150.39975311910388	0.175	1	190
138.72338746678605	150.39646080040683	0.173	1	190
